delta_log_power,theta_log_power,alpha_log_power,beta_log_power,participant_id,epoch_idx
0.5316336695783933,0.9208237682378354,0.30144727158050905,0.43854893675413487,SC4002E0-PSG,0
0.9017594286286816,-0.4333535178303629,0.35514836603416217,0.056778659681250294,SC4002E0-PSG,1
0.3932715039346898,1.580151329798353,1.239964701925385,-0.3878332598478635,SC4002E0-PSG,2
1.445170045998615,2.187532740362547,1.257512103760501,1.0135616369408458,SC4002E0-PSG,3
1.0037922414550522,2.065812055562768,0.9477682177945075,0.7370233815690427,SC4002E0-PSG,4
0.902711081995477,1.0596431045345396,0.4435164217912225,0.4523269797023686,SC4002E0-PSG,5
0.22275505448330152,0.581825775921456,0.5138560351086056,0.5228913895608966,SC4002E0-PSG,6
1.0682704406584274,1.0686695808809472,0.5742624141535547,0.5949285912765486,SC4002E0-PSG,7
0.9401238516691517,1.2030653621574348,0.8674933857957858,0.8090330016253455,SC4002E0-PSG,8
0.35747867717741555,0.7594426889959786,0.6807215044120397,0.8427897840493218,SC4002E0-PSG,9
0.3697069227088777,0.4045738572974014,0.7739973150533926,0.8515247537844312,SC4002E0-PSG,10
0.15916804980737778,-1.015664689529874,-0.32100332683405325,0.3869845314298466,SC4002E0-PSG,11
0.06642931632332091,-0.2549960742365908,-0.02790605900397021,0.26918503897978224,SC4002E0-PSG,12
-0.0012638431969563704,-0.6063632129702441,-0.10661635222239346,0.3383110262309792,SC4002E0-PSG,13
-0.004731338040852859,0.10437406855059798,-0.5922520908105716,0.04349887047830569,SC4002E0-PSG,14
-0.8104576152282419,-1.40366566729228,-0.8283631583915849,0.03194198697846599,SC4002E0-PSG,15
-0.4835044519695,-1.0938110762170552,-0.5636631229821483,0.09179907455987947,SC4002E0-PSG,16
0.12092681789359941,-0.667147821818785,-0.2513491052578804,0.3748941685337419,SC4002E0-PSG,17
0.6427965902862747,-0.3484457667787712,0.285518901220932,0.437780138020077,SC4002E0-PSG,18
-0.4895833872566706,-0.9010980198523183,-0.4468572295640111,0.08450621936238428,SC4002E0-PSG,19
-0.2087803213623696,-0.7874170691680884,-0.41706343471054075,0.2234907522985898,SC4002E0-PSG,20
-0.06331195652011042,-0.36891410591252577,-0.3980949044500657,0.24679303984950032,SC4002E0-PSG,21
0.29249747137675786,0.45168368585497914,1.0371080689627106,1.348293676096385,SC4002E0-PSG,22
0.3206790762527318,0.09378424759929978,0.670855682573292,0.9838679781628942,SC4002E0-PSG,23
-0.6343739166898897,-0.7062627176518345,0.4979985147663992,0.941233487446029,SC4002E0-PSG,24
0.9139649270111243,0.21584635640403665,1.1787643892485535,1.2798057903310576,SC4002E0-PSG,25
0.015683541046567075,-0.7171220744539359,-0.27355357913793404,0.5639466282670087,SC4002E0-PSG,26
