delta_rel,theta_rel,alpha_rel,beta_rel,epoch
0.8572900852536222,0.11923241048689211,0.010353986209206897,0.013123518050278829,0
0.8258787036128025,0.0896202460567871,0.022952671996564616,0.061548378333845764,1
0.9117949451515044,0.038390098875293335,0.021306701149624078,0.028508254823578206,2
0.8290238574110997,0.08243584309065445,0.05636986790692842,0.032170431591317473,3
0.7754588187051448,0.15017064382196726,0.047281897808107695,0.027088639664780142,4
0.7527932124815399,0.21539157334118325,0.015557110729016452,0.016258103448260397,5
0.8219301993626047,0.10285981186168221,0.017008353441046092,0.05820163533466712,6
0.9126339139456504,0.06826998022753965,0.007322728873344084,0.011773376953465807,7
0.7749286975297149,0.17703731165475706,0.02144873212572514,0.02658525868980281,8
0.869950920770542,0.07732155464813928,0.014437655526587422,0.03828986905473114,9
0.9144639648388945,0.056470568261913684,0.011912444825924684,0.017153022073267254,10
0.9014897449164346,0.06668780976489984,0.01074476295677804,0.021077682361887447,11
0.8763542293650023,0.09254223350638871,0.012794551409518006,0.018308985719091016,12
0.8453158473514116,0.11268588355026192,0.014842932600812923,0.027155336497513536,13
0.8793631539529564,0.07999100098258329,0.012470726764609957,0.02817511829985034,14
0.8559369454248614,0.08621740233223454,0.021415451450184537,0.03643020079271945,15
0.8170865069719255,0.11346041841476949,0.023648766402465955,0.045804308210839056,16
0.8635198472384554,0.08939999020380032,0.018355653387900146,0.028724509169844047,17
0.875398389451375,0.08509516330990449,0.015812650614656983,0.023693796624063547,18
0.8027379266950629,0.10100392867954751,0.024163559460610128,0.07209458516477935,19
0.8942738521944783,0.057056085575401844,0.015364375354855077,0.033305686875264875,20
0.8007600264985701,0.12026940014857843,0.029759624954096314,0.04921094839875508,21
0.7878370809220462,0.08654967347998214,0.037034087864322565,0.08857915773364913,22
0.7464550291924748,0.11827504228891875,0.04043909093912007,0.09483083757948653,23
0.8463530166163538,0.10310452919287579,0.01676917885736604,0.03377327533340437,24
0.9100874438667572,0.053545146699861115,0.01357226286532422,0.02279514656805754,25
0.8756180105328959,0.06884563952873834,0.01689802688611717,0.038638323052248694,26
0.7860453361233031,0.10835903373643756,0.030459020116702807,0.07513661002355668,27
0.8503024063310968,0.08388367484382007,0.024775207047690952,0.041038711777392156,28
0.8809189534154087,0.07648963956767552,0.014465493236849173,0.028125913780066607,29
0.8559338521733473,0.0809617291499078,0.01922189719227604,0.04388252148446893,30
0.6857208837925564,0.1803669823652914,0.04374282719450205,0.0901693066476503,31
0.8601515094799314,0.07791512463420372,0.01925413735382143,0.04267922853204354,32
0.8068332705112471,0.10158219035439786,0.028229140948909666,0.06335539818544543,33
0.8220554590939125,0.1073695778940894,0.027291978895930047,0.04328298411606806,34
0.8927888725714269,0.07136348961917474,0.013697670335125964,0.022149967474272367,35
0.8708101478526885,0.06490712525511895,0.017800994028969466,0.04648173286322313,36
0.8433450542955354,0.09289264878020871,0.024776645380960888,0.03898565154329493,37
0.717637923973536,0.1510665749940859,0.03414148722062541,0.09715401381175275,38
0.8387392562512863,0.09123661724987427,0.02071419844701311,0.0493099280518264,39
0.8979696021779721,0.06041353842769026,0.0162509458600808,0.025365913534256802,40
0.8980378417689263,0.06270219678316037,0.014616364130883554,0.024643597317029805,41
0.9039337920214946,0.059483688576036,0.011522243346980612,0.025060276055488794,42
0.8462756446064226,0.08716573650955398,0.02016257081593166,0.04639604806809182,43
0.8721677681000468,0.06420086567254345,0.022310635746930516,0.0413207304804792,44
0.7890740176254007,0.12031644958997763,0.027525319885727116,0.06308421289889454,45
0.7850436376556313,0.10566935527168703,0.037942484552168775,0.07134452252051285,46
0.8247894610732989,0.09035126427678328,0.02325686980438043,0.061602404845537445,47
0.8985340543976494,0.056779343952958646,0.016007117252439636,0.028679484396952414,48
0.8874726490890108,0.06980478004869989,0.01589816369187444,0.026824407170415003,49
0.8235824002290539,0.10527118231994388,0.022429601488003492,0.048716815962998795,50
0.8970838327997905,0.05503481364465018,0.01610078571918701,0.03178056783637216,51
0.8402370546711777,0.09035096773834446,0.0223241082993333,0.047087869291144724,52
0.8530548945030435,0.07557015798480202,0.021015102035543153,0.05035984547661149,53
0.78600038706587,0.10358156576024172,0.02860531441143099,0.08181273276245714,54
